state,agr.r1,agr.r1.lb,agr.r1.ub,agr.r2,agr.r2.lb,agr.r2.ub,agr.rt.cl,agr.rt.cl.lb,agr.rt.cl.ub,agr.tr.cl,agr.tr.cl.lb,agr.tr.cl.ub,agr.st,agr.st.lb,agr.st.ub,agr.samplesize,cns.r1,cns.r1.lb,cns.r1.ub,cns.r2,cns.r2.lb,cns.r2.ub,cns.rt.cl,cns.rt.cl.lb,cns.rt.cl.ub,cns.tr.cl,cns.tr.cl.lb,cns.tr.cl.ub,cns.st,cns.st.lb,cns.st.ub,cns.samplesize,ext.r1,ext.r1.lb,ext.r1.ub,ext.r2,ext.r2.lb,ext.r2.ub,ext.rt.cl,ext.rt.cl.lb,ext.rt.cl.ub,ext.tr.cl,ext.tr.cl.lb,ext.tr.cl.ub,ext.st,ext.st.lb,ext.st.ub,ext.samplesize,neu.r1,neu.r1.lb,neu.r1.ub,neu.r2,neu.r2.lb,neu.r2.ub,neu.rt.cl,neu.rt.cl.lb,neu.rt.cl.ub,neu.tr.cl,neu.tr.cl.lb,neu.tr.cl.ub,neu.st,neu.st.lb,neu.st.ub,neu.samplesize,opn.r1,opn.r1.lb,opn.r1.ub,opn.r2,opn.r2.lb,opn.r2.ub,opn.rt.cl,opn.rt.cl.lb,opn.rt.cl.ub,opn.tr.cl,opn.tr.cl.lb,opn.tr.cl.ub,opn.st,opn.st.lb,opn.st.ub,opn.samplesize
1,0.0621034800661706,-0.021176004155314995,0.14538296428765618,-0.010861627009381319,-0.06870546346815334,0.04698220944939071,0.08701081775302898,0.04356038770578131,0.13046124780027665,0.042073825707043426,-0.004294976418455399,0.08844262783254225,0.5122628453080585,0.44548400066869764,0.5790416899474194,1605,0.2334536524615191,0.15399516006207656,0.31291214486096164,0.006387757073106302,-0.05347885004291577,0.06625436418912838,0.023879905918228316,-0.02790342820180099,0.07566324003825763,0.019444167358930353,-0.025581293328425105,0.06446962804628581,0.4863365357901748,0.411789631206373,0.5608834403739766,1605,0.01072739324820274,-0.07012631104988183,0.09158109754628731,0.0019651841486229347,-0.06155832290699619,0.06548869120424206,0.03590360431978454,-0.006973951174476596,0.07878115981404567,-0.014871216304005773,-0.05955594795893415,0.029813515350922606,0.6009513061464294,0.5384322858308506,0.6634703264620084,1605,-0.15523252100125012,-0.2385179366348733,-0.07194710536762695,-0.039893790234288636,-0.09852812621845956,0.01874054574988229,0.07257240911428965,0.02085376572311116,0.12429105250546814,0.03749860442056258,-0.008284053729703643,0.08328126257082881,0.49380383296429425,0.4196666070215463,0.5679410589070423,1605,0.112319912525494,0.0323713360577817,0.1922684889932063,0.0314734705620177,-0.026512470735235452,0.08945941185927084,0.020958999125975115,-0.025796437120254697,0.06771443537220492,0.005569339456447467,-0.03840554450789593,0.04954422342079087,0.5368442011858331,0.46447476913111935,0.6092136332405468,1605
2,0.10383852807347445,-0.019976740796471174,0.22765379694342008,-0.0018976722233298034,-0.07718885601070773,0.07339351156404812,0.013561759514924577,-0.038624797287851995,0.06574831631770114,0.04281993459907049,-0.012033338410102288,0.09767320760824326,0.5206733594160053,0.4324752059969448,0.608871512835066,677,0.05854337117346858,-0.041560991270411525,0.15864773361734869,-0.07175991812017311,-0.152699001662568,0.009179165422221774,0.02798027870319038,-0.025760469209445257,0.08172102661582602,0.013120571739429647,-0.040781940042743006,0.0670230835216023,0.5585693343548367,0.4629433776363954,0.654195291073278,677,-0.020571258345882283,-0.1458802173780566,0.10473770068629204,-0.08504538909664627,-0.16926068628005184,-8.300919132407288e-4,-0.0018528431286254808,-0.06011037667156703,0.05640469041431607,0.02164030639835251,-0.03636763448818409,0.0796482472848891,0.6302506597183242,0.5558760648334734,0.7046252546031749,677,-0.04851558780871636,-0.1581207317898168,0.061089556172384096,-0.014063651498791482,-0.08674925923031898,0.05862195623273601,0.020178241069155112,-0.027905561681756105,0.06826204382006633,-1.6355499269319493e-5,-0.04445728211683521,0.04442457111829657,0.6323496789311684,0.5477427643600032,0.71695659350233365,677,8.850084038910149e-4,-0.12270024532193868,0.1244702621297207,0.03527383985136554,-0.04659445535389259,0.11714213505662367,-0.03122349377533257,-0.08768673421984483,0.025239746669179674,-4.281995867194385e-4,-0.05037329742893666,0.04951689825549778,0.6160731798092054,0.5402988138641239,0.6918475457542869,677
3,0.12189859294518618,0.07769087436873975,0.1661063115216326,0.025397461306533697,-0.006984378968525329,0.057779301581592724,0.021458561948416808,-8.208487488676497e-4,0.04373797264570127,0.043417467259537476,0.019128946988492164,0.06770598753058278,0.5275162736162023,0.4907072404387332,0.5643253067936715,4459,0.08981193874935633,0.04559022903567995,0.13403364846303273,0.021545048050756892,-0.011860607819617253,0.054950703921131036,0.022489809504492347,4.517735545727745e-5,0.04493444165352742,0.010859782443624021,-0.012776735115923983,0.034496300003172026,0.5565182118994062,0.5161849273728658,0.5968514964259465,4459,-0.02004345986242006,-0.0685834323359249,0.02849651261108478,0.027817932819632095,-0.0066093545411152685,0.06224522018037946,-0.010247339215197505,-0.03235404905221767,0.011859370621822664,0.0011546564572975887,-0.02189591361022592,0.0242052265248211,0.6274524657070742,0.5930686253399705,0.661836306074178,4459,-0.02653785369432445,-0.07297020130954521,0.019894493920896306,-0.007098421004792148,-0.039189262965857584,0.024992420956273288,0.012764750309713633,-0.00939404386396082,0.03492354448338809,0.002982777039646517,-0.020876640813200543,0.026842194892493575,0.5905500002731849,0.5559791213784345,0.6251208791679354,4459,-0.009810928572550994,-0.05894397180527186,0.03932211466016987,0.06099250158594247,0.025839337973759095,0.09614566519812585,0.025357175690104147,0.0019212618431115925,0.0487930895370967,-0.007284010012266167,-0.030919000477180075,0.01635098045264774,0.5905607737961698,0.555279399531198,0.6258421480611416,4459
4,0.03836413296253246,-0.13444527098079384,0.21117353690585877,0.09432454676016573,-0.009516421361023805,0.19816551488135528,0.024303908772073574,-0.06454927274470582,0.11315709028885296,-0.01847962897377376,-0.11106929659605302,0.0741100386485055,0.5442867952788343,0.40574773536211267,0.6828258551955559,336,0.006245916266982792,-0.1744873367630393,0.18697916929700487,0.08517169655354027,-0.03800960947155474,0.2083530025786353,-0.0012320204397065389,-0.08201947384244018,0.07955543296302711,-0.03387122317387515,-0.12177096258188526,0.05402851623413497,0.5399307490208527,0.382577833820204,0.6972836642215012,336,-0.02127677303949693,-0.21200695952596166,0.1694534134469678,0.03981521920556411,-0.08378372833072623,0.16341416674185444,6.513301410689284e-4,-0.10106883856078545,0.1023714988429233,0.013262722515691966,-0.07414204077855975,0.10066748580994368,0.5820821992551554,0.43834953217435274,0.7258148663359579,336,0.0854441381395804,-0.09330486064382204,0.26419313692298285,0.0035322180041422705,-0.11648080575559383,0.12354524176387836,-0.023007191583781342,-0.11053969482819466,0.06452531166063197,-0.016173880058339307,-0.0977190668357921,0.06537130671911348,0.5907602855254724,0.4749195758872518,0.7066009951636931,336,0.027434576978008288,-0.1489644323879406,0.20383358634395715,-0.06892758084400274,-0.18033123512534846,0.04247607343734299,0.08411984122765748,0.002818233436269834,0.16542144901904512,-0.009774459703861026,-0.07666589788756172,0.05711697847983966,0.7009222990059844,0.5862277346026834,0.8156168634092854,336
5,0.128583387576305,0.09910963736811924,0.15805713778449076,0.02689284791033798,0.005468150681491522,0.04831754513918443,0.03283963680574873,0.018113349603937012,0.047565924007560455,0.05251712843028416,0.036768890847198046,0.06826536601337026,0.5512050332110938,0.5270866461601668,0.5753234202620209,9968,0.029113381317825718,-5.795755152184674e-4,0.0588063381508699,0.04789994600206382,0.025727082903322675,0.07007280910080496,0.023563473276886245,0.008406629398601213,0.038720317155171276,0.025514290248152206,0.009522447407712693,0.04150613308859172,0.561127280079395,0.534979888146119,0.5872746720126711,9968,-0.045787600027946164,-0.07563721158512264,-0.015937988470769687,0.009180644882521623,-0.01384657992246505,0.0322078696875083,0.0055558362391279065,-0.009086956674761728,0.02019862915301754,9.997757320987012e-4,-0.013374148638346264,0.015373700102543667,0.6407051509878788,0.6189372628174348,0.6624730391583229,9968,0.01899017369573944,-0.010845990221809616,0.0488263376132885,-0.020643145559509746,-0.04332560845751181,0.002039317338492321,0.01121147223559802,-0.0037326615255722537,0.026155605996768295,2.6658650215384387e-4,-0.015221144476443899,0.015754317480751588,0.5794987530377341,0.5565601939642739,0.6024373121111942,9968,-0.010504427455237341,-0.041398600827111484,0.020389745916636805,0.018391074684131793,-0.0040122797844025756,0.040794429152666165,-8.083112032176416e-5,-0.01457722863808104,0.014415566397437513,0.0272155508933178,0.012036973536414744,0.042394128250220854,0.6166873496444711,0.5957204107498342,0.6376542885391081,9968
6,0.11360599750035577,0.059405425345076694,0.16780656965563484,0.031991004361058874,-0.007039636219423527,0.07102164494154127,0.01775718749295174,-0.008433602662088284,0.043947977647991764,0.06823074139431407,0.04126736830377926,0.09519411448484887,0.5744015231733154,0.5330011048179671,0.6158019415286636,3300,0.07116735909327197,0.015279050075370941,0.127055668111173,0.02987711712335818,-0.010868136970353808,0.07062237121707016,0.02549335650622983,-0.0033352662930712152,0.05432197930553088,0.04281947384310528,0.015873743700926524,0.06976520398528403,0.5858549296517103,0.5412986093380737,0.6304112499653468,3300,-0.012355104026748847,-0.06709296809226424,0.04238276003876655,0.02319814722385389,-0.016270345508636205,0.06266663995634399,-0.01123582661565715,-0.03745568072942642,0.014984027498112127,0.012919486233237694,-0.011423779912232096,0.037262752378707485,0.6704503195203624,0.6367901385908281,0.7041105004498966,3300,0.05884015440263604,0.00557532198862614,0.11210498681664594,-0.06052032412398441,-0.10172851748357267,-0.01931213076439615,0.017737788138434636,-0.008550704024453445,0.04402628030132272,-0.004074290787826307,-0.03043696072731132,0.022288379151658707,0.6071352957629221,0.5688914640785171,0.6453791274473273,3300,0.07745236610872071,0.019985839008594068,0.13491889320884734,0.050646166416934306,0.010245756978988845,0.09104657585487977,-0.009847924940526425,-0.038361428572681745,0.018665578691628895,-0.01269752000944275,-0.03946121537358363,0.014066175354698127,0.6408269278134556,0.6026892782190896,0.6789645774078217,3300
7,0.06136472364749518,-0.003401893683812135,0.1261313409788025,0.04364795352660217,-0.001370004893217679,0.08866591194642201,0.04104075087336956,0.006376883772416728,0.07570461797432239,0.029974570299009844,-0.004209105471004514,0.0641582460690242,0.520595960833957,0.47257656159931694,0.568615360068597,2081,0.03809871324723807,-0.026114053609648455,0.1023114801041246,0.06430638040676386,0.02067502043566635,0.10793774037786134,0.007066215275324673,-0.02924824213297489,0.043380672683624236,0.009160789000910446,-0.027023484160760086,0.04534506216258098,0.4911536302415081,0.4329301540565875,0.5493771064264287,2081,-0.052055359710352564,-0.11750069908520842,0.013389979664503296,0.036042513359444764,-0.009520766181310869,0.08160579290020041,-0.01937242278276991,-0.05337873954994197,0.014633893984402147,-0.019163408350803633,-0.050000374726176425,0.011673558024569163,0.600101980141898,0.5560545351796456,0.6441494251041504,2081,-0.06263744894761368,-0.12610650470054952,8.316068053221409e-4,-0.0019337989062086101,-0.04884992269223121,0.04498232487981398,0.006368219625376921,-0.02867990380164737,0.04141634305240121,0.0064280610267360636,-0.027676782059213464,0.04053290411268559,0.5403739222260604,0.494735356519702,0.5860124879324187,2081,-0.014561212110798345,-0.0789058956707072,0.04978347144911051,0.04741321073030973,0.0013616661950709129,0.09346475526554854,0.024009767572920414,-0.00885553496190568,0.05687507010774651,-0.022323484296454702,-0.05416662433850399,0.00951965574559459,0.6062106665705601,0.5619803127837186,0.6504410203574017,2081
8,0.0962509278995384,0.05872406278210198,0.13377779301697482,0.02171201524182788,-0.008396522481847715,0.05182055296550347,0.02795395395219396,0.007955296460041823,0.0479526114443461,0.05117565460489036,0.029585272739792074,0.07276603646998865,0.5216487344910591,0.4893342155738848,0.5539632534082334,5672,0.08278652097233014,0.044155395178997574,0.12141764676566269,0.002169954720072628,-0.027429333716428476,0.031769243156573736,0.026193971964085298,0.007038121839684749,0.04534982208848585,0.01080315401836216,-0.01046694343662965,0.03207325147335397,0.5485239619938564,0.511993900856618,0.585054023131095,5672,-0.03910981726460362,-0.0781693212447404,-5.031328446684913e-5,0.010404929453096191,-0.01954909375426142,0.040358952660453806,-0.006606487717555238,-0.025206658107934706,0.01199368267282423,-0.005620764777256222,-0.02492123488228249,0.013679705327770048,0.6522321832543722,0.6247157481287007,0.6797486183800435,5672,0.03354910962684361,-0.0055759413771516095,0.07267416063083884,-3.440139738255633e-4,-0.030306637339775896,0.02961860939212477,-0.00501783463139364,-0.02339626318415538,0.013360593921368097,0.009666523364536142,-0.010438399185303041,0.029771445914375326,0.6235231244206257,0.5955013044252352,0.6515449444160163,5672,-0.006599281097585996,-0.046586152784534894,0.03338759058936291,0.030989624223710304,-7.178028789016817e-5,0.06205102873531077,-0.010504361373951547,-0.029954383055840302,0.008945660307937205,-0.0032535385282250443,-0.02314801730483391,0.01664094024838382,0.637981219349585,0.6098659342302584,0.6660965044689117,5672
9,0.09181676183196057,0.055672563267938555,0.1279609603959826,0.010862327303108772,-0.01601081916170927,0.03773547376792682,0.020588581114063326,0.004527455013437909,0.03664970721468874,0.03087109260440306,0.01237580190684586,0.049366383301960255,0.5369543042840803,0.5083578391126222,0.5655507694555385,7248,0.08733209176370507,0.05281197580838152,0.12185220771902863,0.018299390989229405,-0.0067499079249610525,0.04334868990341987,0.019249354815188604,0.0035098793505971685,0.03498883027978004,0.008104488286210444,-0.009526732726136064,0.02573570929855695,0.58317921186107,0.5535589934692499,0.6127994302528902,7248,-0.0341536429977453,-0.07016257742921742,0.0018552914337268064,0.019632845175775397,-0.007836031037999142,0.04710172138954994,-0.02837217782130976,-0.04408840700018049,-0.01265594864243903,-0.0033099459431446434,-0.019411970512994346,0.012792078626705058,0.6517259724286644,0.6278024328101501,0.6756495120471786,7248,0.015143401597986566,-0.02096929025548789,0.05125609345146102,-0.023776419727043994,-0.04900554785866381,0.0014527084045758154,-0.0017095451934764207,-0.016429147973537332,0.013010057586584491,0.007351005207950864,-0.009243380021008597,0.023945390436910324,0.6363856030653767,0.6125326759451584,0.6602385301855951,7248,-0.018526457486680237,-0.05542049411514906,0.018367579141788586,0.028159087062000692,0.001017891638103785,0.055300282485897606,-0.020548621324229,-0.036774261608133886,-0.004322981040324118,-0.010693169103662227,-0.02839907449534658,0.007012736288022125,0.6090344218112165,0.5833915422216751,0.634677301400758,7248
10,0.14301131315594723,-0.009297332351090065,0.29531995866298455,-0.009670397518161044,-0.11766574304946521,0.09832494801314313,0.12627353416300596,0.0400564769356749,0.21249059139033705,-0.06304952892118248,-0.14463613673159512,0.018537078889230157,0.6173296958322496,0.5004508840551694,0.73420850760933,428,0.14493394385961597,0.008974491701131931,0.28089339601810004,0.06623563866424692,-0.037104810295079255,0.1695760876235731,0.08443188338390648,-4.0231938815481666e-4,0.16926608615596775,0.01654930794312062,-0.06836219068805252,0.10146080657429375,0.5394751837224395,0.4008589491400652,0.6780914183048139,428,0.0625705966770508,-0.09600939824910958,0.22115059160321116,-0.03358325254902103,-0.14428961832941525,0.07712311323137318,0.013117842083067353,-0.0718157199965073,0.09805140416264199,0.04891574716356638,-0.029646820315995106,0.12747831464312787,0.6289054761584989,0.5210941343205889,0.736716817996409,428,0.05816563035015185,-0.09388616478074471,0.2102174254810484,0.025347356127953632,-0.07461594280445522,0.12531065506036249,-0.011449321060534739,-0.09527772059689679,0.07237907847582732,-0.005005878638861675,-0.09512718034969093,0.08511542307196758,0.5181662570216268,0.3902480350215535,0.6460844790217,428,0.011268630041783795,-0.15266806052292392,0.17520532060649152,0.0608360367335568,-0.04765368781522349,0.1693257612823371,0.0971326788170023,0.016432209549264245,0.17783314808474035,0.021482454217842974,-0.06266840228335188,0.10563331071903782,0.5769111233725497,0.4611197434824723,0.692702503262627,428
