trait,effect,model,type,variables,est,se,lb,ub
agr,rt.cl,CLPM,Latent,All,0.04835679428890528,0.004707834899162341,0.03912960744138634,0.057583981136424225
agr,rt.cl,CLPM,Latent,Single,0.034082944497871,0.004693166008680996,0.02488450814738865,0.04328138084835335
agr,rt.cl,CLPM,Observed,All,0.025299102690285926,0.004652483750888339,0.016180402099886963,0.03441780328068489
agr,rt.cl,CLPM,Observed,Single,0.027952020275987845,0.004669633070977362,0.018799707635855048,0.03710433291612064
agr,rt.cl,RICLPM,Latent,All,0.08365532716105009,0.024237388595243232,0.03615091843507151,0.13115973588702867
agr,rt.cl,RICLPM,Latent,Single,0.008718178042474689,0.012694904319871213,-0.016163377211654832,0.03359973329660421
agr,rt.cl,RICLPM,Observed,All,-1.4898993316958748e-5,0.01486522735635585,-0.02915020923377398,0.02912041124714006
agr,rt.cl,RICLPM,Observed,Single,-0.0029365618535634446,0.017966869907153207,-0.038150979786500235,0.03227785607937334
agr,tr.cl,CLPM,Latent,All,0.020146703776168392,0.004883208053722893,0.010575791861855588,0.029717615690481196
agr,tr.cl,CLPM,Latent,Single,0.012672715015049492,0.005290588549374007,0.0023033520012564306,0.023042078028842554
agr,tr.cl,CLPM,Observed,All,0.040418757046881026,0.004849236254459799,0.03091442863561391,0.04992308545814814
agr,tr.cl,CLPM,Observed,Single,0.03932535673690426,0.004683985655725302,0.030144913547580438,0.04850579992622808
agr,tr.cl,RICLPM,Latent,All,-0.00679269147074246,0.015372738593782404,-0.03692270545830489,0.023337322516819966
agr,tr.cl,RICLPM,Latent,Single,-0.025328835754201612,0.013595229224333026,-0.05197499539546076,0.0013173238870575303
agr,tr.cl,RICLPM,Observed,All,-0.02422613070175174,0.013604944226985705,-0.05089133139831985,0.0024390699948163667
agr,tr.cl,RICLPM,Observed,Single,-0.024892439342442445,0.011933989196362856,-0.048282628359203744,-0.0015022503256811488
cns,rt.cl,CLPM,Latent,All,-0.011153660611140597,0.006608972405081249,-0.024107008499918904,0.001799687277637711
cns,rt.cl,CLPM,Latent,Single,0.010688025611984562,0.004679965149989325,0.001515462469102894,0.01986058875486623
cns,rt.cl,CLPM,Observed,All,0.011506492047178884,0.004645623964792991,0.0024012363904684503,0.020611747703889318
cns,rt.cl,CLPM,Observed,Single,0.01794779610761394,0.0046450216740242245,0.00884372091911851,0.02705187129610937
cns,rt.cl,RICLPM,Latent,All,-0.06522373632180091,0.031998524208014155,-0.1279396913279417,-0.0025077813156601098
cns,rt.cl,RICLPM,Latent,Single,-0.022535253376707223,0.0204340390104658,-0.06258523389590667,0.017514727142492224
cns,rt.cl,RICLPM,Observed,All,-0.007958752654303281,0.01127380344622804,-0.03005500137769378,0.014137496069087218
cns,rt.cl,RICLPM,Observed,Single,-0.008321736395821202,0.015109735247180118,-0.037936273296229645,0.021292800504587237
cns,tr.cl,CLPM,Latent,All,-0.004756666576254129,0.004720152440344793,-0.014007995360868768,0.004494662208360509
cns,tr.cl,CLPM,Latent,Single,-0.003989840768684138,0.0046463921380335985,-0.013096602017280048,0.005116920479911773
cns,tr.cl,CLPM,Observed,All,0.017753222037170738,0.00464520216014682,0.008648793102375311,0.026857650971966164
cns,tr.cl,CLPM,Observed,Single,0.015585059969822092,0.004645545848258089,0.0064799574187066646,0.02469016252093752
cns,tr.cl,RICLPM,Latent,All,-0.012628608057832828,0.02086260047799169,-0.05351855361854465,0.028261337502878993
cns,tr.cl,RICLPM,Latent,Single,-0.02897022196348211,0.027673973820861907,-0.08321021396147575,0.02526977003451153
cns,tr.cl,RICLPM,Observed,All,-0.01030373312383972,0.021620851258262307,-0.052679822905131346,0.03207235665745191
cns,tr.cl,RICLPM,Observed,Single,-0.016112719447945352,0.024007800654082728,-0.06316714407796464,0.03094170518207394
ext,rt.cl,CLPM,Latent,All,0.003019909374574861,0.012391130464020204,-0.021266260062641824,0.027306078811791548
ext,rt.cl,CLPM,Latent,Single,0.003057176753251986,0.005793221663057105,-0.008297329060797175,0.014411682567301146
ext,rt.cl,CLPM,Observed,All,-0.011316636774179977,0.004932463561150601,-0.020984087709091333,-0.0016491858392686225
ext,rt.cl,CLPM,Observed,Single,-0.004708318537013943,0.004725903048048837,-0.013970918305617726,0.00455428123158984
ext,rt.cl,RICLPM,Latent,All,-0.02979338194925262,0.07141051423803987,-0.16975541797329552,0.11016865407479026
ext,rt.cl,RICLPM,Latent,Single,-0.023975313560045362,0.03751230753922002,-0.09749808531390694,0.04954745819381621
ext,rt.cl,RICLPM,Observed,All,-0.018845110441058775,0.015383470165773927,-0.04899615792322208,0.011305937041104535
ext,rt.cl,RICLPM,Observed,Single,-0.01427278576464989,0.013352714169710643,-0.0404436246331404,0.011898053103840617
ext,tr.cl,CLPM,Latent,All,0.0037893201285878657,0.004720875797697322,-0.0054634264103856816,0.013042066667561414
ext,tr.cl,CLPM,Latent,Single,0.00492513614520175,0.004646900439305823,-0.004182621355581019,0.014032893645984519
ext,tr.cl,CLPM,Observed,All,4.987975216413649e-5,0.00464694378491271,-0.009057962704447019,0.00915772220877529
ext,tr.cl,CLPM,Observed,Single,-7.367378021261519e-4,0.004646991714819917,-0.009844674199629214,0.00837119859537691
ext,tr.cl,RICLPM,Latent,All,0.015869997381016236,0.011293383301006574,-0.006264627152562714,0.03800462191459519
ext,tr.cl,RICLPM,Latent,Single,0.012330845176869935,0.014680579106147538,-0.016442561143370456,0.041104251497110326
ext,tr.cl,RICLPM,Observed,All,0.015036919883632115,0.015458332563490182,-0.015260855201851366,0.045334694969115595
ext,tr.cl,RICLPM,Observed,Single,0.01503211999064804,0.018971860599169735,-0.022152043503439127,0.052216283484735206
neu,rt.cl,CLPM,Latent,All,0.010290215568831416,0.005512191354143958,-5.134809611838098e-4,0.021093912098846642
neu,rt.cl,CLPM,Latent,Single,0.006928821960003674,0.0047542539069119006,-0.002389344470902494,0.016246988390909843
neu,rt.cl,CLPM,Observed,All,0.0093797277657728,0.004645246491230612,2.7521194364974605e-4,0.018484243587895854
neu,rt.cl,CLPM,Observed,Single,0.006171276442223878,0.004645997020596716,-0.0029347103904260796,0.015277263274873835
neu,rt.cl,RICLPM,Latent,All,0.01791624097495593,0.04305038766442732,-0.06646096836780901,0.10229345031772089
neu,rt.cl,RICLPM,Latent,Single,0.02532687770761169,0.028433596557750893,-0.030401947496522107,0.08105570291174549
neu,rt.cl,RICLPM,Observed,All,0.022145783570919626,0.018249293349289975,-0.013622174136995055,0.05791374127883431
neu,rt.cl,RICLPM,Observed,Single,0.023451216334027615,0.018132448688574873,-0.01208773004709967,0.0589901627151549
neu,tr.cl,CLPM,Latent,All,0.0012416917699070705,0.004720480976173518,-0.0080102809330995,0.01049366447291364
neu,tr.cl,CLPM,Latent,Single,0.0023224690319533763,0.0047550430143247484,-0.006997244021061905,0.011642182084968658
neu,tr.cl,CLPM,Observed,All,0.0034249280455540066,0.004646957712012179,-0.005682941707670517,0.012532797798778531
neu,tr.cl,CLPM,Observed,Single,0.003828303362108828,0.0046469418019282884,-0.005279535207924278,0.012936141932141935
neu,tr.cl,RICLPM,Latent,All,0.016911336276279134,0.01487386638937645,-0.012240906157759517,0.046063578710317785
neu,tr.cl,RICLPM,Latent,Single,0.016354519882943123,0.025761780209994978,-0.034137641506283734,0.06684668127216999
neu,tr.cl,RICLPM,Observed,All,0.02375721942907293,0.020683949893034816,-0.016782577419306412,0.06429701627745227
neu,tr.cl,RICLPM,Observed,Single,0.016417058953270523,0.02061107512389427,-0.023979905972211675,0.05681402387875272
opn,rt.cl,CLPM,Latent,All,-0.01249562693911109,0.011346155808614788,-0.034733683686976005,0.009742429808753825
opn,rt.cl,CLPM,Latent,Single,0.004017445997128171,0.0062619096932912165,-0.008255671476164867,0.01629056347042121
opn,rt.cl,CLPM,Observed,All,0.0060370680388249715,0.005969305395623195,-0.005662555549317108,0.01773669162696705
opn,rt.cl,CLPM,Observed,Single,0.006725410529193052,0.005501076087569906,-0.004056500478658472,0.017507321537044575
opn,rt.cl,RICLPM,Latent,All,0.006108507920065441,0.08385133270179661,-0.15823708423114155,0.17045410007127246
opn,rt.cl,RICLPM,Latent,Single,0.07223163946485595,0.06807511512952524,-0.06119313443243124,0.20565641336214313
opn,rt.cl,RICLPM,Observed,All,0.029698009909041742,0.01862992421798148,-0.0068159705929124875,0.06621199041099597
opn,rt.cl,RICLPM,Observed,Single,0.018875299304353537,0.014165425106592354,-0.00888842373026693,0.046639022338974004
opn,tr.cl,CLPM,Latent,All,-0.007891451317450336,0.0076005258434049166,-0.02278820823408989,0.007005305599189217
opn,tr.cl,CLPM,Latent,Single,-0.005606638989555225,0.007074902290720042,-0.01947319267350643,0.008259914694395984
opn,tr.cl,CLPM,Observed,All,0.011556228650632501,0.006361911107014047,-9.128879919603761e-4,0.024025345293225378
opn,tr.cl,CLPM,Observed,Single,0.009677282218696539,0.006206550394036958,-0.0024873330218487793,0.02184189745924186
opn,tr.cl,RICLPM,Latent,All,-1.5538129222652814e-4,0.02956716761866581,-0.05810596494967043,0.05779520236521737
opn,tr.cl,RICLPM,Latent,Single,0.027326220949108717,0.04171969424627186,-0.05444287721960703,0.10909531911782447
opn,tr.cl,RICLPM,Observed,All,0.024138472795392257,0.018619285797388533,-0.012354656785347407,0.060631602376131924
opn,tr.cl,RICLPM,Observed,Single,0.01954663068420842,0.019805060540802277,-0.0192705746873994,0.05836383605581624
