trait,effect,model,type,variables,est,se,lb,ub
agr,rt.cl,CLPM,Latent,All,0.050349712325855375,0.00687727083077377,0.03687050918561093,0.06382891546609981
agr,rt.cl,CLPM,Latent,Single,0.034082944497871,0.004693166008680996,0.02488450814738865,0.04328138084835335
agr,rt.cl,CLPM,Observed,All,0.02490603272953865,0.004685666235827939,0.015722295663740525,0.034089769795336775
agr,rt.cl,CLPM,Observed,Single,0.027952020275987845,0.004669633070977362,0.018799707635855048,0.03710433291612064
agr,rt.cl,RICLPM,Latent,All,0.08130862922564004,0.017961315405338164,0.0461050979162128,0.11651216053506729
agr,rt.cl,RICLPM,Latent,Single,0.008718178042474689,0.012694904319871213,-0.016163377211654832,0.03359973329660421
agr,rt.cl,RICLPM,Observed,All,-1.1929958793732907e-4,0.015582977494140202,-0.030661374248350345,0.030422775072475684
agr,rt.cl,RICLPM,Observed,Single,-0.0029365618535634446,0.017966869907153207,-0.038150979786500235,0.03227785607937334
agr,tr.cl,CLPM,Latent,All,0.019937974656179906,0.004984971948182342,0.010167609173800048,0.029708340138559764
agr,tr.cl,CLPM,Latent,Single,0.012672715015049492,0.005290588549374007,0.0023033520012564306,0.023042078028842554
agr,tr.cl,CLPM,Observed,All,0.04232486482619806,0.0054340144567582545,0.03167439219948189,0.052975337452914224
agr,tr.cl,CLPM,Observed,Single,0.03932535673690426,0.004683985655725302,0.030144913547580438,0.04850579992622808
agr,tr.cl,RICLPM,Latent,All,-0.012077461553980326,0.013372672085061791,-0.03828741721776559,0.014132494109804933
agr,tr.cl,RICLPM,Latent,Single,-0.025328835754201612,0.013595229224333026,-0.05197499539546076,0.0013173238870575303
agr,tr.cl,RICLPM,Observed,All,-0.026098433183264023,0.01438769801707141,-0.054297803117162334,0.0021009367506342885
agr,tr.cl,RICLPM,Observed,Single,-0.024892439342442445,0.011933989196362856,-0.048282628359203744,-0.0015022503256811488
cns,rt.cl,CLPM,Latent,All,-0.011911802766080708,0.006921339585538441,-0.025477379078507438,0.0016537735463460195
cns,rt.cl,CLPM,Latent,Single,0.010688025611984562,0.004679965149989325,0.001515462469102894,0.01986058875486623
cns,rt.cl,CLPM,Observed,All,0.011008639582814882,0.004645692993301152,0.0019032486327145454,0.020114030532915217
cns,rt.cl,CLPM,Observed,Single,0.01794779610761394,0.0046450216740242245,0.00884372091911851,0.02705187129610937
