stateName,Model,Type,Traits,agr_rt.cl,agr_rt.cl.lb,agr_rt.cl.ub,cns_rt.cl,cns_rt.cl.lb,cns_rt.cl.ub,ext_rt.cl,ext_rt.cl.lb,ext_rt.cl.ub,neu_rt.cl,neu_rt.cl.lb,neu_rt.cl.ub,opn_rt.cl,opn_rt.cl.lb,opn_rt.cl.ub,agr,cns,ext,neu,opn
Schleswig-Holstein,CLPM,Latent,All,0.13112980631504,0.0521005914739071,0.210159021156172,-0.073041648077874,-0.169533236042219,0.0234499398864704,0.112139830998034,0.0188465961528038,0.205433065843265,0.0999349966697562,0.0294716258577751,0.170398367481737,-0.0912610925522601,-0.1930859688792,0.0105637837746802,No,No,No,No,No
Hamburg,CLPM,Latent,All,0.0331076922185094,-0.115107436652858,0.181322821089877,0.0592598962857604,-0.110804207279195,0.229323999850716,0.0726429419521551,-0.132585830065333,0.277871713969643,0.0473290233494527,-0.0451007194968109,0.139758766195716,-0.137152284307276,-0.37287052431088,0.098565955696328,Yes,Yes,Yes,Yes,Yes
Lower Saxony,CLPM,Latent,All,0.0335705866166122,-0.00482767022190171,0.0719688434551261,0.015338650351382,-0.0256771618813443,0.0563544625841082,-0.034734534770358,-0.0794228612444828,0.00995379170376683,0.00897594809627959,-0.0170615352396249,0.0350134314321841,0.0181341588418751,-0.0294868042202154,0.0657551219039655,No,No,No,No,No
North Rhine-Westphalia,CLPM,Latent,All,0.0522099621386558,0.0249033908241671,0.0795165334531444,-0.00450439141565203,-0.0305178130513322,0.0215090302200281,0.0256109577231884,-0.00353188896187024,0.054753804408247,0.0159706285703252,-0.00274456535976391,0.0346858225004143,-0.0461684804891678,-0.0769077042173778,-0.0154292567609578,No,No,No,No,No
Hesse,CLPM,Latent,All,0.0447700681286406,-0.0041255498055772,0.0936656860628584,-0.0153285575987138,-0.0706266043394232,0.0399694891419956,0.0346326613722709,-0.017130571160469302,0.0863958939050111,0.0190975012508833,-0.0127012365593417,0.0508962390611084,-0.0556015588671771,-0.107389263281183,-0.00381385445317109,No,No,No,No,No
Rhineland-Palatinate,CLPM,Latent,All,0.0616719933647904,0.00528815321193522,0.118055833517646,-0.0035814041469159,-0.0648782540274385,0.0577154457336067,-0.0459102966026555,-0.107541586576082,0.0157209933707712,0.0138253176396395,-0.0296733933933562,0.0573240286726352,0.0149635479313705,-0.0458174455926461,0.075744541455387,No,No,No,No,No
Baden-Wuerttemberg,CLPM,Latent,All,0.0420400155675968,0.00842399750852957,0.075656033626664,0.0121115283311841,-0.020402756369838,0.0446258130322062,0.00951186657774482,-0.0255807115592704,0.04460444471476,-0.00392131326506384,-0.0267423460842834,0.0188997195541558,-0.0461564395671795,-0.0849754916375973,-0.00733738749676177,No,No,No,No,No
Bavaria,CLPM,Latent,All,0.0456784655789736,0.0171046102528222,0.0742523209051251,0.00751227930275446,-0.0216934413011681,0.036717999906677,-0.0231879817117762,-0.0516611545560288,0.00528519113247642,-0.00319899170436499,-0.0215679909580586,0.0151700075493286,-0.0316926093812559,-0.0623332407540866,-0.0010519780084252,No,No,No,No,No
Berlin,CLPM,Latent,All,0.021468154139902,-0.0424155895745755,0.0853518978543795,-0.0320119310845528,-0.0955981086689692,0.0315742464998635,0.0357797656908135,-0.018098115139292,0.089657646520919,0.0317916211736951,-0.00859645136860918,0.0721796937159994,-0.0190294690496794,-0.0822076092727398,0.044148671173381,No,No,No,No,No
Brandenburg,CLPM,Latent,All,0.0853011218622937,0.0260342453458753,0.144567998378712,-0.0539072686993302,-0.119730915626075,0.0119163782274147,0.0523302725184046,-0.0190798697336311,0.12374041477044,0.0250867800609687,-0.0142005791285694,0.0643741392505069,-0.0266713642908208,-0.0959906304635075,0.0426479018818659,No,No,No,No,No
