stateName,Model,Type,Traits,agr_rt.cl,agr_rt.cl.lb,agr_rt.cl.ub,cns_rt.cl,cns_rt.cl.lb,cns_rt.cl.ub,ext_rt.cl,ext_rt.cl.lb,ext_rt.cl.ub,neu_rt.cl,neu_rt.cl.lb,neu_rt.cl.ub,opn_rt.cl,opn_rt.cl.lb,opn_rt.cl.ub,agr,cns,ext,neu,opn
Schleswig-Holstein,CLPM,Latent,All,0.133237731731215,0.0546453655908592,0.211830097871571,-0.0781101754317205,-0.173856620739263,0.0176362698758216,0.112487929413645,0.0226099794004453,0.202365879426844,0.0991902577152408,0.0298613651253517,0.16851915030513,-0.090473103807468,-0.18697358468229,0.0060273770673538,No,No,No,No,No
Hamburg,CLPM,Latent,All,0.0586642572135229,-0.0390066173000089,0.156335131727055,0.0467230151793421,-0.0565485782113599,0.149994608570044,0.0472679517627557,-0.092698763781685,0.187234667307196,0.0296955891632213,-0.0383163813212872,0.0977075596477298,-0.117277648263784,-0.290614844333845,0.0560595478062769,Yes,Yes,Yes,Yes,Yes
Lower Saxony,CLPM,Latent,All,0.0332874178640507,-0.00436985692351781,0.0709446926516192,0.0166894990091084,-0.0235864547210928,0.0569654527393096,-0.0345461242299942,-0.0789237333444702,0.00983148488448183,0.00985612172292306,-0.0161423083251465,0.0358545517709926,0.0176941531367181,-0.0298007860570202,0.0651890923304565,No,No,No,No,No
North Rhine-Westphalia,CLPM,Latent,All,0.0523928681651821,0.0252359895462123,0.079549746784152,-0.00479329541059061,-0.0306770804749208,0.0210904896537396,0.0261501193327095,-0.0025142277019215,0.0548144663673406,0.016382298647485,-0.00236250803195643,0.0351271053269265,-0.0465556682075588,-0.0769071433426502,-0.0162041930724674,No,No,No,No,No
Hesse,CLPM,Latent,All,0.043749773155032,-0.00406735780141511,0.0915669041114791,-0.0137881181279773,-0.0687576294919218,0.0411813932359672,0.033446457970597,-0.0179632276210792,0.0848561435622732,0.0192540497100156,-0.0128583187484982,0.0513664181685295,-0.0542780911254657,-0.105383167908856,-0.00317301434207482,No,No,No,No,No
Rhineland-Palatinate,CLPM,Latent,All,0.061460078917664,0.0052071512216611,0.117713006613667,-0.00240234300348735,-0.063821309347434907,0.0590166233404602,-0.044177575315659,-0.104080557530297,0.0157254068989787,0.015619181429915,-0.0272255244534745,0.0584638873133045,0.0122339502160153,-0.0467253469256183,0.0711932473576489,No,No,No,No,No
Baden-Wuerttemberg,CLPM,Latent,All,0.042388578050701,0.00917279531769372,0.0756043607837083,0.0123503119946014,-0.0198616817473474,0.0445623057365501,0.00871094482901425,-0.0261277996314681,0.0435496892894966,-0.00299707373593157,-0.0257402291359576,0.0197460816640944,-0.0455628068824126,-0.0839758315272391,-0.00714978223758624,No,No,No,No,No
Bavaria,CLPM,Latent,All,0.0465135032110562,0.0183585503409026,0.0746684560812099,0.00726939371181693,-0.0215051026210039,0.0360438900446378,-0.0239852419010713,-0.0521996844987287,0.00422920069658617,-0.00287235304976125,-0.0211669511816759,0.0154222450821534,-0.0309899851819289,-0.0613718967508892,-6.0807361296868e-4,No,No,No,No,No
Berlin,CLPM,Latent,All,0.0215824959666999,-0.0414216198224343,0.0845866117558341,-0.0327169170119364,-0.0965077825926646,0.0310739485687918,0.0332970267079392,-0.019740533784691,0.0863345872005695,0.0311543391063249,-0.00873776065131112,0.0710464388639609,-0.0164207605169614,-0.0788405942485903,0.0459990732146674,No,No,No,No,No
Brandenburg,CLPM,Latent,All,0.0862661209710282,0.0267985184078961,0.14573372353416,-0.051220913408207,-0.116597490147603,0.014155663331189,0.0478553233373193,-0.0213767863483986,0.117087433023037,0.022651160848448,-0.0162512326659775,0.0615535543628734,-0.0259160101503301,-0.0943841063690247,0.0425520860683645,No,No,No,No,No
