stateName,Model,Type,Traits,agr_tr.cl,agr_tr.cl.lb,agr_tr.cl.ub,cns_tr.cl,cns_tr.cl.lb,cns_tr.cl.ub,ext_tr.cl,ext_tr.cl.lb,ext_tr.cl.ub,neu_tr.cl,neu_tr.cl.lb,neu_tr.cl.ub,opn_tr.cl,opn_tr.cl.lb,opn_tr.cl.ub,agr,cns,ext,neu,opn
Schleswig-Holstein,CLPM,Latent,All,0.0434296814635142,-0.00872475315504341,0.0955841160820717,0.00230463960603666,-0.049014969285602,0.0536242484976753,0.021923019798173,-0.0272001642473763,0.0710462038437223,0.0463565550130714,-0.0118729096897192,0.104586019715862,-0.0133726209801808,-0.0672852536563461,0.0405400116959845,No,No,No,No,No
Hamburg,CLPM,Latent,All,0.0330877481046452,-0.0345632432943541,0.100738739503644,0.0181543579388005,-0.0674127125052892,0.10372142838289,0.0268056983516056,-0.0300800514744466,0.0836914481776578,0.0021695918541426,-0.0511489704839994,0.0554881541922846,-0.0322892637186114,-0.105953718004886,0.0413751905676635,Yes,Yes,Yes,Yes,Yes
Lower Saxony,CLPM,Latent,All,0.016773038048724,-0.00950638687037856,0.0430524629678265,-0.0086716845847356,-0.0348605268369298,0.0175171576674586,0.00226007327105446,-0.022696665092375,0.0272168116344839,-0.00254811631785429,-0.0299013296069925,0.0248050969712839,-0.029432572467217,-0.0585103293511555,-3.5481558327847e-4,No,No,No,No,No
North Rhine-Westphalia,CLPM,Latent,All,0.0332435511357756,0.0146043470300628,0.0518827552414883,0.00728886201266839,-0.0107800570882759,0.0253577811136127,0.0112219645114281,-0.00445873326967295,0.0269026622925293,0.00358459504448551,-0.0142498664666353,0.0214190565556063,0.0162549440746758,-0.00144648295159596,0.0339563711009476,No,No,No,No,No
Hesse,CLPM,Latent,All,0.0449358557170906,0.0132070806085158,0.0766646308256655,0.018806736519155,-0.0123000377652957,0.0499135108036058,0.0184272364598702,-0.00772213702122652,0.044576609940967,-0.0208965345464549,-0.0513471804071541,0.00955411131424434,-0.0382051101452074,-0.0689667839515125,-0.00744343633890225,No,No,No,No,No
Rhineland-Palatinate,CLPM,Latent,All,-0.0130340450737279,-0.0546477664472807,0.0285796762998248,-0.0286902853044102,-0.0692356371914104,0.01185506658259,-0.0096429812942709,-0.0433485558555461,0.0240625932670043,0.0128858301701353,-0.0260627097514893,0.0518343700917598,-0.0566316672396524,-0.0948402449638077,-0.0184230895154971,No,No,No,No,No
Baden-Wuerttemberg,CLPM,Latent,All,0.02269124009568,-0.00145914585935025,0.0468416260507102,-0.0224889214074139,-0.0463455382854883,0.00136769547066055,-6.896670260938e-4,-0.0216664541171762,0.0202871200649886,-0.00216850437254698,-0.0258401958170202,0.0215031870719262,-0.0223578049048808,-0.0460008104734445,0.00128520066368281,No,No,No,No,No
Bavaria,CLPM,Latent,All,0.00276335023090579,-0.0183694940097461,0.0238961944715577,-0.0150874450011965,-0.0348472868913125,0.00467239688891945,-0.00459051083259868,-0.0223386910234634,0.0131576693582661,0.00492774881287378,-0.0143819519702241,0.0242374495959717,-0.0212740171798772,-0.0420760565844356,-4.7197777531877e-4,No,No,No,No,No
Berlin,CLPM,Latent,All,0.0116171830053284,-0.0261693822775727,0.0494037482882295,0.0124343921273088,-0.0196029785949433,0.044471762849561,0.0051283347262229,-0.0248269560423094,0.0350836254947553,0.00238387257443955,-0.036079742904143,0.0408474880530221,0.0169149300908915,-0.0190168499166565,0.0528467100984396,No,No,No,No,No
Brandenburg,CLPM,Latent,All,0.0196289426691124,-0.0182879010702476,0.0575457864084723,-0.0256751539342778,-0.0671777430635434,0.0158274351949878,0.0122181165528181,-0.0222954027537267,0.0467316358593628,0.0122118323678832,-0.0247429000345893,0.0491665647703557,0.00546284377820927,-0.0378406959923562,0.0487663835487748,No,No,No,No,No
Mecklenburg-Western Pomerania,CLPM,Latent,All,0.0369704301749386,-0.0201737852168929,0.0941146455667702,-0.0258842179986197,-0.077528186771354,0.0257597507741147,0.00198314491712301,-0.0440714169299088,0.0480377067641548,-0.019724564012158,-0.0743631069508718,0.0349139789265557,-8.4052949584127e-4,-0.0604555718094524,0.0587745128177699,No,No,No,No,No
Saxony,CLPM,Latent,All,0.00156617515605274,-0.0249630679250013,0.0280954182371068,-0.00244378571640998,-0.0299314264904765,0.0250438550576565,-0.00104763162948243,-0.0231778825743947,0.0210826193154298,1.4270381533648e-4,-0.0261736278783034,0.0264590355089764,0.0302520975488958,0.00537492258970837,0.0551292725080833,No,No,No,No,No
Saxony-Anhalt,CLPM,Latent,All,0.0312629037811942,-0.00304323057422637,0.0655690381366147,0.0116596304431963,-0.0231220967562579,0.0464413576426505,-0.00487849753433332,-0.0363306688589278,0.0265736737902611,0.0100188957680142,-0.0280505333216671,0.0480883248576955,0.048299425549556,0.0153324749500339,0.0812663761490781,No,No,No,No,No
Thuringia,CLPM,Latent,All,0.0104258137357743,-0.0224069977642386,0.0432586252357873,0.0121248100248031,-0.0187570866298034,0.0430067066794096,-0.00634418494028532,-0.0370355937205565,0.0243472238399858,-0.0269976039754398,-0.0596307498845597,0.00563554193368,-0.0161682745342932,-0.0492752924185531,0.0169387433499667,No,No,No,No,No
Schleswig-Holstein,RICLPM,Latent,All,0.0452860801191864,-0.257499987553875,0.348072147792248,-0.0416713874340785,-0.17491979087654,0.0915770160083834,-0.0234181311991856,-0.172412271839689,0.125576009441318,0.0668224501162561,-0.160125200894124,0.293770101126636,-0.0460765798010259,-0.272572433684217,0.180419274082166,Yes,Yes,Yes,Yes,Yes
Hamburg,RICLPM,Latent,All,-0.0180005996125345,-0.369930336004824,0.333929136779755,0.0216383288769607,-0.286319191858358,0.329595849612279,0.0977494951584654,-0.12241299005333,0.317911980370261,0.0766632468071398,-0.308899027026322,0.462225520640601,-0.0809393584855986,-0.28037790318223,0.118499186211033,Yes,Yes,Yes,Yes,Yes
Lower Saxony,RICLPM,Latent,All,-0.0459176605911357,-0.146956664226651,0.0551213430443794,-0.0648397684522438,-0.159245313357207,0.0295657764527199,-0.00634539618582789,-0.110739748541883,0.0980489561702273,0.0562509474298462,-0.0700646354102254,0.182566530269918,-0.0906830469768851,-0.204150336669734,0.0227842427159639,No,No,No,No,No
Bremen,RICLPM,Latent,All,0.151287419249594,NA,NA,-0.231569595325228,NA,NA,0.323270368970271,NA,NA,0.705995751455768,NA,NA,0.46607484970609,NA,NA,Yes,Yes,Yes,Yes,Yes
North Rhine-Westphalia,RICLPM,Latent,All,0.0294251176178614,-0.0245563722024513,0.083406607438174,-0.0160295790714834,-0.0698308038716135,0.0377716457286467,0.0271328369002569,-0.0304932155064623,0.0847588893069761,0.0447113221714824,-0.0143761771487166,0.103798821491681,0.0656172954707395,0.0097940610492786,0.1214405298922,No,No,No,No,No
Hesse,RICLPM,Latent,All,0.0113839942765821,-0.35506217902093,0.377830167574094,0.0397672448198621,-0.0934806247829961,0.17301511442272,0.0524882322834921,-0.174121645665014,0.279098110231998,0.0665711629506524,-0.0963761681119693,0.229518494013274,-0.127105457194989,-0.280821868181814,0.026610953791835,No,No,No,No,No
Rhineland-Palatinate,RICLPM,Latent,All,0.0374069408411941,-0.0825877911568448,0.157401672839233,0.0846776961405433,-0.0331716252024505,0.202527017483537,8.7821722143741e-4,-0.0970453126120663,0.0988017470549411,-0.063442171744358,-0.189099295047779,0.0622149515590625,0.109967908731316,-0.00524471930837679,0.225180536771009,No,No,No,No,No
Baden-Wuerttemberg,RICLPM,Latent,All,0.0329153153039533,-0.0635030333109135,0.12933366391882,0.0164442864389708,-0.0788719190410299,0.111760491918972,0.0493134613349966,-0.0396199679692319,0.138246890639225,-0.00459850688446874,-0.0837738437109961,0.0745768299420586,0.022665595488184,-0.0683283703431436,0.113659561319512,No,No,No,No,No
Bavaria,RICLPM,Latent,All,-0.0444575216660318,-0.12986986119553,0.0409548178634664,-0.0761816507233333,-0.158080868228243,0.00571756678157657,-0.0323203477479729,-0.121582983067196,0.0569422875712503,0.0161376663628424,-0.0629293511772893,0.0952046839029742,-0.0222470001104991,-0.107672822144671,0.0631788219236726,No,No,No,No,No
Berlin,RICLPM,Latent,All,0.0673468578435332,-0.191446397012518,0.326140112699584,-0.244596310296389,-0.500975169454488,0.0117825488617093,0.0278795191661679,-0.268448600312444,0.32420763864478,0.0177045852418948,-0.226552338227182,0.261961508710972,0.12607861591735,-0.0796855396033014,0.331842771438001,Yes,Yes,Yes,Yes,Yes
Brandenburg,RICLPM,Latent,All,-0.0409882458422016,-0.172537971543634,0.0905614798592303,-0.0371645002936285,-0.159525869862588,0.0851968692753308,-0.0442296138826368,-0.175297839372298,0.0868386116070241,0.0859448830104036,-0.0555523150594623,0.22744208108027,0.0698881183967792,-0.0740548504496564,0.213831087243215,Yes,Yes,Yes,Yes,Yes
Mecklenburg-Western Pomerania,RICLPM,Latent,All,-0.143473844410861,-0.282297910567982,-0.00464977825373979,-0.0959061989960638,-0.225789453270664,0.0339770552785369,0.0662651064171151,-0.106274616087353,0.238804828921583,-0.095422322084568,-0.283608704639355,0.0927640604702192,0.0372680013836851,-0.11980111952853,0.1943371222959,Yes,Yes,Yes,Yes,Yes
Saxony,RICLPM,Latent,All,-0.0678494872662152,-0.172580398216797,0.0368814236843669,-0.0639155585879769,-0.17789763570001,0.0500665185240567,0.021689755449609,-0.0964314452143465,0.139810956113564,-0.010105382510994401,-0.130206420988199,0.109995655966211,0.0432184951895214,-0.0641740720849232,0.150611062463966,No,No,No,No,No
Saxony-Anhalt,RICLPM,Latent,All,-0.0272597373413133,-0.156871353525856,0.102351878843229,-0.00840714840308115,-0.113441185653964,0.0966268888478021,0.0331794358186555,-0.123516903778556,0.189875775415867,-0.0208923611722274,-0.178522085682558,0.136737363338103,0.0341994375181707,-0.0846780377015903,0.153076912737932,Yes,Yes,Yes,Yes,Yes
Thuringia,RICLPM,Latent,All,0.0506320674659667,-0.0838159244560503,0.185080059387984,-0.016986510288024,-0.177941196362941,0.143968175786893,-0.0534539012112429,-0.169339696913762,0.0624318944912756,-0.17806950483555,-0.312023246770517,-0.0441157629005827,0.00920128124892144,-0.160047307585963,0.178449870083806,Yes,Yes,Yes,Yes,Yes
Schleswig-Holstein,CLPM,Observed,All,0.0406729082844237,-0.00561362685685055,0.0869594434256979,0.0277055778481855,-0.0181768000311954,0.0735879557275664,-0.018351961558258,-0.0627609430101641,0.0260570198936481,0.0382327815308027,-0.00738512574489774,0.0838506888065031,0.00583910115626289,-0.0386746158705844,0.0503528181831102,No,No,No,No,No
Hamburg,CLPM,Observed,All,0.0506897877115087,-0.00641287482707814,0.107792450250096,0.0248303970315011,-0.0306141601356128,0.0802749541986149,0.0255326021297626,-0.0356891203979608,0.086754324657486,0.00259206956441433,-0.0399529047375005,0.0451370438663291,-0.00279282655665864,-0.0556447280473177,0.0500590749340004,No,No,No,No,No
Lower Saxony,CLPM,Observed,All,0.0443792145588793,0.0196438513988652,0.0691145777188934,0.0134089280817554,-0.0109255072307013,0.0377433633942122,0.00500383161268766,-0.0190382062007678,0.0290458694261431,0.00180003110712387,-0.0221454258238215,0.0257454880380692,-0.00665509722380406,-0.0308367875184675,0.0175265930708594,No,No,No,No,No
Bremen,CLPM,Observed,All,-0.0168766268726367,-0.114747969909431,0.080994716164158,-0.0168573355546477,-0.110875481956696,0.0771608108474003,0.0167267839557308,-0.0708354548781863,0.104289022789648,-0.0154637524742478,-0.0984398803683356,0.06751237541984,0.00689992715451541,-0.0710067955430009,0.084806649852031707,No,No,No,No,No
North Rhine-Westphalia,CLPM,Observed,All,0.055947182044111,0.0399349184503785,0.0719594456378435,0.0298571504073726,0.0135458101155101,0.0461684906992351,0.0037214396762160302,-0.011181271721155,0.0186241510735871,-8.72947177336143e-5,-0.0155976994555981,0.0154231100201308,0.0303627123045515,0.0146886784102084,0.0460367461988945,No,No,No,No,No
Hesse,CLPM,Observed,All,0.0685293769312083,0.0414274927679866,0.0956312610944301,0.042294708696288,0.0153149172286943,0.0692745001638817,0.0139847015152197,-0.0110874943593218,0.0390568973897612,-0.0046653265697652,-0.030857402885672,0.0215267497461416,-0.0108521080783894,-0.0380367755882385,0.0163325594314598,No,No,No,No,No
Rhineland-Palatinate,CLPM,Observed,All,0.03129218319953,-0.00322526004914753,0.0658096264482075,0.00995004843796138,-0.0262827453515292,0.046182842227452,-0.0191623606205343,-0.0504694107291465,0.012144689488078,0.00473139021839299,-0.02961665598883,0.039079436425616,-0.0213148265811844,-0.0539689256175881,0.0113392724552193,No,No,No,No,No
Baden-Wuerttemberg,CLPM,Observed,All,0.0506901534145312,0.028801243375059,0.0725790634540033,0.0131368123957434,-0.00862191740061172,0.0348955421920985,-0.00451586395703842,-0.0245556624129122,0.0155239344988354,0.00885475438560498,-0.0114521877540044,0.0291616965252144,-7.3636029467607e-4,-0.0213266741286956,0.0198539535393435,No,No,No,No,No
Bavaria,CLPM,Observed,All,0.0311149867529526,0.0123093418671797,0.0499206316387255,0.0091623044044448,-0.00885890771904733,0.0271835165279369,-0.00471442090664098,-0.0212670427197634,0.0118382009064815,0.00719504887713374,-0.00947420938053953,0.023864307134807,-0.00923682060443699,-0.0274787119317634,0.00900507072288938,No,No,No,No,No
Saarland,CLPM,Observed,All,-0.0587562102984088,-0.143940637170321,0.0264282165735039,-0.0029809130496759,-0.093106352845542,0.0871445267461902,0.0420351725289606,-0.0406547863191399,0.124725131377061,0.00643372566983124,-0.0859698839963753,0.0988373353360378,0.0163489510628337,-0.0716254946799244,0.104323396805592,No,No,No,No,No
Berlin,CLPM,Observed,All,0.0274323653651094,-0.00787709133629395,0.0627418220665128,0.0278438182312562,-0.00395887671108388,0.0596465131735962,0.00708060765584073,-0.022922473048113,0.0370836883597944,-0.00578619347200083,-0.0406031645567767,0.0290307776127751,0.0242676162419968,-0.00700174587280897,0.0555369783568027,No,No,No,No,No
Brandenburg,CLPM,Observed,All,0.0270710916470775,-0.00500981749575526,0.0591520007899103,-0.0104816695457103,-0.0468319946357094,0.0258686555442889,0.011452217840258,-0.0212313807797305,0.0441358164602465,0.00490594253889173,-0.0265274818881419,0.0363393669659254,0.0321390143342789,-0.00507487786461379,0.0693529065331716,No,No,No,No,No
Mecklenburg-Western Pomerania,CLPM,Observed,All,0.03484481449091,-0.0147429086454403,0.0844325376272604,0.00257156454331391,-0.045933181802402,0.0510763108890299,-0.00468146607738741,-0.0513444941126168,0.041981561957842,-0.0118964523368944,-0.0570775064345996,0.0332846017608108,0.0314078134966001,-0.0191561153097878,0.081971742302988,No,No,No,No,No
Saxony,CLPM,Observed,All,0.0113783623475024,-0.0138696775434969,0.0366264022385018,0.0078738451595013,-0.0183937607898473,0.0341414511088499,-0.0090016779020012,-0.0310417434589545,0.013038387654952,0.00993538153114316,-0.0122795785817218,0.0321503416440081,0.0456767719044953,0.0231315427073266,0.068222001101664,No,No,No,No,No
Saxony-Anhalt,CLPM,Observed,All,0.0425523983513014,0.00803028259623054,0.0770745141063722,0.0227103309048313,-0.0109243767846921,0.0563450385943547,3.6189332068455e-4,-0.0309639245319483,0.0316877111733174,0.00290404536760586,-0.0312106576414156,0.0370187483766274,0.0685890591458872,0.0386799716187597,0.0984981466730146,No,No,No,No,No
Thuringia,CLPM,Observed,All,0.0203825369866965,-0.0104297114908781,0.0511947854642711,0.0115811818120339,-0.0190172966621597,0.0421796602862275,-0.00953595248816375,-0.037836932441499,0.0187650274651714,-0.015423934055502,-0.0452447928282665,0.0143969247172624,0.00464407477000218,-0.0252364479942997,0.034524597534304,No,No,No,No,No
Schleswig-Holstein,RICLPM,Observed,All,-0.0648769977831418,-0.210107866163815,0.0803538705975315,-0.119733192894863,-0.252770567334231,0.0133041815445038,-0.111208899718607,-0.274528897448596,0.0521110980113831,0.21553015599956,0.0601096089925979,0.370950703006522,-0.0787490739038177,-0.27842412743694,0.120925979629305,No,No,No,No,No
