stateName,Model,Type,Traits,agr_tr.cl,agr_tr.cl.lb,agr_tr.cl.ub,cns_tr.cl,cns_tr.cl.lb,cns_tr.cl.ub,ext_tr.cl,ext_tr.cl.lb,ext_tr.cl.ub,neu_tr.cl,neu_tr.cl.lb,neu_tr.cl.ub,opn_tr.cl,opn_tr.cl.lb,opn_tr.cl.ub,agr,cns,ext,neu,opn
Schleswig-Holstein,CLPM,Latent,All,0.042584407027028,-0.0097928352795017,0.0949616493335577,-9.5065844210186e-4,-0.0520269579031723,0.0501256410189686,0.02201331081229,-0.026554990832917,0.0705816124574971,0.0432216648424447,-0.0153624913015535,0.101805820986443,-0.016990646488382,-0.0705158785096866,0.0365345855329225,No,No,No,No,No
Hamburg,CLPM,Latent,All,0.0428067591482892,-0.0241623109020792,0.109775829198658,0.0161215488771543,-0.0634809809081999,0.0957240786625085,0.0268976085382885,-0.0286885396841016,0.0824837567606786,-0.00142103983748881,-0.0544569087061834,0.0516148290312057,-0.0252904832859962,-0.099717096123217,0.0491361295512246,Yes,Yes,Yes,Yes,Yes
Lower Saxony,CLPM,Latent,All,0.0171351976235697,-0.00937094553638864,0.043641340783528,-0.00794463375757587,-0.0342470560190209,0.0183577885038691,0.00249602235621068,-0.0225543793195979,0.0275464240320193,-0.00213171411469402,-0.0294765388829001,0.025213110653512,-0.0297884427812788,-0.0588299556548038,-7.4692990775376e-4,No,No,No,No,No
North Rhine-Westphalia,CLPM,Latent,All,0.0338814768485938,0.0151482203308489,0.0526147333663387,0.00769877005512787,-0.0103710283288563,0.025768568439112,0.0105711262591633,-0.00511253152379269,0.0262547840421192,0.00328316635787559,-0.0145828001556778,0.021149132871429,0.0163948082457466,-0.00141190830430965,0.034201524795803,No,No,No,No,No
Hesse,CLPM,Latent,All,0.0453943939129074,0.0133983755503649,0.07739041227545,0.0181934866317441,-0.0130157764435046,0.0494027497069928,0.0179438610882232,-0.00846063779418541,0.0443483599706318,-0.0203467289215174,-0.0511776118751811,0.0104841540321462,-0.038166623034235,-0.0690449323189345,-0.00728831374953546,No,No,No,No,No
Rhineland-Palatinate,CLPM,Latent,All,-0.0130662753753381,-0.0548224744924124,0.0286899237417362,-0.0297905105481569,-0.0698976554781226,0.0103166343818089,-0.00718863657466146,-0.0409780837779698,0.0266008106286469,0.0140029257937773,-0.0251307075947953,0.0531365591823499,-0.0570070220378814,-0.0952301230202835,-0.0187839210554793,No,No,No,No,No
Baden-Wuerttemberg,CLPM,Latent,All,0.0223474583257144,-0.00186087010188358,0.0465557867533124,-0.0239099802374488,-0.0478484772999211,2.85168250234504e-5,-0.00193235593189179,-0.0228349327082067,0.0189702208444231,-0.00236971731972483,-0.0259721533733205,0.0212327187338709,-0.0240710873239844,-0.0476451898508722,-4.9698479709667e-4,No,No,No,No,No
Bavaria,CLPM,Latent,All,0.00294926299091555,-0.0181797761638982,0.0240783021457293,-0.014035953143483,-0.0338167122899748,0.00574480600300884,-0.00401590818806426,-0.0217977900081247,0.0137659736319961,0.00550786609304429,-0.013840368962987,0.0248561011490756,-0.0217913170918792,-0.0426105544674292,-9.7207971632914e-4,No,No,No,No,No
Berlin,CLPM,Latent,All,0.0108547777166503,-0.0270583802999951,0.0487679357332957,0.0121611111893139,-0.019825043604632,0.0441472659832598,0.0040126694772739,-0.0265648098407399,0.0345901487952877,0.00129358765155165,-0.0370722842409274,0.0396594595440307,0.015561708580384,-0.0207256713470731,0.051849088507841,No,No,No,No,No
Brandenburg,CLPM,Latent,All,0.0185252395651459,-0.019365397492568,0.0564158766228598,-0.0279580228907533,-0.0697737672399157,0.0138577214584091,0.0135005339634679,-0.0211047407681779,0.0481058086951137,0.0168989318182945,-0.0198706237131256,0.0536684873497146,0.00644685550778666,-0.0367997733271351,0.0496934843427084,No,No,No,No,No
Mecklenburg-Western Pomerania,CLPM,Latent,All,0.0360823647604328,-0.0214067311423007,0.0935714606631663,-0.0267040779205944,-0.0779511350807102,0.0245429792395214,0.00483229458961688,-0.0408728274096824,0.0505374165889162,-0.0192357930331846,-0.0719860148153846,0.0335144287490153,0.00885785277382062,-0.0507626654621711,0.0684783710098123,No,No,No,No,No
Saxony,CLPM,Latent,All,0.00115251357398476,-0.0255602299166647,0.0278652570646342,-0.00278068522555844,-0.030159611337205,0.0245982408860882,-0.00126268800126761,-0.0234523399414054,0.0209269639388701,-2.46666527656945e-5,-0.0263912883771178,0.0263419550715864,0.0299781605246181,0.00488918279353075,0.0550671382557054,No,No,No,No,No
