trait,effect,model,type,variables,est,se,lb,ub,mod.est,mod.se,mod.lb,mod.ub
agr,rt.cl,CLPM,Latent,All,0.04457620389580681,0.005352716763670583,0.03408507181956867,0.05506733597204495,2.4131798533712776e-4,0.005009624093867974,-0.009577364814728203,0.010060000785402458
agr,rt.cl,CLPM,Latent,Single,0.034126306495546925,0.005376998377284514,0.023587583331138966,0.044665029659954884,-4.689495681059434e-5,0.005046726581049766,-0.009938297295489097,0.009844507381867908
agr,rt.cl,CLPM,Observed,All,0.025735774345057336,0.005265253902093658,0.015416066327494784,0.03605548236261989,-8.837002356722945e-4,0.004989728671391193,-0.010663388724225925,0.008895988252881338
agr,rt.cl,CLPM,Observed,Single,0.027801726982059047,0.005274218818536642,0.017464448051143836,0.038139005912974255,3.076382931338113e-4,0.004998876767854125,-0.009489980135014266,0.010105256721281888
agr,rt.cl,RICLPM,Latent,All,0.05901919848162881,0.008893260737168585,0.04158872773165426,0.07644966923160336,-0.035326031818373675,0.008579450901044955,-0.052141446591551496,-0.01851061704519585
agr,rt.cl,RICLPM,Latent,Single,0.008733520832894394,0.012878542391005748,-0.016507958426849226,0.033975000092638014,-8.351748444098816e-5,0.011793853597058953,-0.0231990457736147,0.023032010804732723
agr,rt.cl,RICLPM,Observed,All,2.923279763407569e-4,0.014733066277924901,-0.028583951310233634,0.029168607262915147,-0.006378517772773607,0.014881951805386243,-0.03554660733099148,0.022789571785444263
agr,rt.cl,RICLPM,Observed,Single,-0.002949752825153867,0.017975435211075853,-0.03818095844529568,0.032281452794987946,5.869704545524875e-4,0.01826730476954178,-0.03521628898836615,0.03639022989747112
agr,tr.cl,CLPM,Latent,All,0.01812321099447658,0.0058000976750610875,0.006755228444542349,0.029491193544410814,1.0205181429268098e-4,0.005455175184280336,-0.010589895076253429,0.01079399870483879
agr,tr.cl,CLPM,Latent,Single,0.012513468433915834,0.0057810645193251105,0.0011827901837362584,0.02384414668409541,3.828280343239937e-4,0.005453297611585058,-0.010305438881361016,0.011071094950009002
agr,tr.cl,CLPM,Observed,All,0.03763790278767949,0.005274290678389753,0.02730048301404025,0.047975322561318735,0.006443676770239666,0.004999130944791601,-0.0033544398355515644,0.0162417933760309
agr,tr.cl,CLPM,Observed,Single,0.035902200507085445,0.005279346390328958,0.02555487172012915,0.04624952929404174,0.007023570900728861,0.0050041180696508486,-0.0027843202901728994,0.01683146209163062
agr,tr.cl,RICLPM,Latent,All,-0.01694943715116075,0.0119208490160691,-0.04031387188779592,0.0064149975854744246,0.0023619569279788445,0.011638288255680307,-0.02044866889485004,0.02517258275080773
agr,tr.cl,RICLPM,Latent,Single,-0.02873529050333711,0.011960773124774596,-0.05217797505514992,-0.005292605951524303,0.021695593439885395,0.010950643146559693,2.3272726507802752e-4,0.043158459614692765
agr,tr.cl,RICLPM,Observed,All,-0.024319272242366265,0.013363918736073814,-0.05051207165739098,0.0018735271726584464,0.006735716787197136,0.013447336057463292,-0.019620577573437756,0.03309201114783203
agr,tr.cl,RICLPM,Observed,Single,-0.025139920897076444,0.011413330652629797,-0.047509637919877876,-0.002770203874275016,0.011071081634028918,0.011413694829214808,-0.011299349161763146,0.033441512429820984
cns,rt.cl,CLPM,Latent,All,-0.011169315086158132,0.0053630435790646734,-0.02168068734864368,-6.579428236725832e-4,0.01405980480667814,0.005018668570253801,0.0042233951586375645,0.023896214454718713
cns,rt.cl,CLPM,Latent,Single,0.00790350397095329,0.005312602536438484,-0.0025090056646422786,0.01831601360654886,0.005658375019508317,0.005037136838008933,-0.004214231768189159,0.015530981807205793
cns,rt.cl,CLPM,Observed,All,0.005856550379934603,0.0052584067741551395,-0.004449737513470916,0.01616283827334012,0.011422683119601852,0.004980620382717577,0.0016608465488093024,0.0211845196903944
cns,rt.cl,CLPM,Observed,Single,0.014261317782590923,0.005258095262426874,0.003955640440953569,0.024566995124228278,0.007451574024750843,0.004980564771598304,-0.0023101535502507934,0.017213301599752477
cns,rt.cl,RICLPM,Latent,All,-0.074223861820464615,0.012277104164539318,-0.09828654381740838,-0.05016117982352085,0.06105776741808071,0.01200434861988456,0.03752967646524387,0.08458585837091755
cns,rt.cl,RICLPM,Latent,Single,-0.022962851443348017,0.01967370555053509,-0.061522605764842545,0.01559690287814651,0.021284813823742754,0.019576286056264963,-0.017084001797590218,0.059653629445075726
cns,rt.cl,RICLPM,Observed,All,-0.010866625286516189,0.009797674946142993,-0.03006971531318687,0.00833646474015449,0.01973233978491635,0.009737311016503339,6.475608863047017e-4,0.038817118683527996
cns,rt.cl,RICLPM,Observed,Single,-0.009291952462243788,0.01433966466738928,-0.037397178760708305,0.01881327383622073,0.017894240468785908,0.014470657537443414,-0.010467727137216248,0.046256208074788065
cns,tr.cl,CLPM,Latent,All,0.0021524874229324137,0.005493358136770526,-0.008614296679317873,0.012919271525182699,-0.004666769231825623,0.0051468965052984305,-0.014754501014365613,0.005420962550714367
