trait,effect,model,type,variables,est,se,lb,ub,mod.est,mod.se,mod.lb,mod.ub
agr,rt.cl,CLPM,Latent,All,0.04914859082827571,0.005347917123162973,0.03866686587457123,0.05963031578198019,-0.0015621210460840967,0.0050052554244822516,-0.011372241411493048,0.008247999319324855
agr,rt.cl,CLPM,Latent,Single,0.034126306495546925,0.005376998377284514,0.023587583331138966,0.044665029659954884,-4.689495681059434e-5,0.005046726581049766,-0.009938297295489097,0.009844507381867908
agr,rt.cl,CLPM,Observed,All,0.025735774345057336,0.005265253902093658,0.015416066327494784,0.03605548236261989,-8.837002356722945e-4,0.004989728671391193,-0.010663388724225925,0.008895988252881338
agr,rt.cl,CLPM,Observed,Single,0.027801726982059047,0.005274218818536642,0.017464448051143836,0.038139005912974255,3.076382931338113e-4,0.004998876767854125,-0.009489980135014266,0.010105256721281888
agr,rt.cl,RICLPM,Latent,All,0.0789159129884402,0.03387109879442293,0.012529779234573213,0.14530204674230718,0.006454079501979074,0.03230591292074648,-0.05686434631037121,0.06977250531432935
agr,rt.cl,RICLPM,Latent,Single,0.008733520832894394,0.012878542391005748,-0.016507958426849226,0.033975000092638014,-8.351748444098816e-5,0.011793853597058953,-0.0231990457736147,0.023032010804732723
agr,rt.cl,RICLPM,Observed,All,2.923279763407569e-4,0.014733066277924901,-0.028583951310233634,0.029168607262915147,-0.006378517772773607,0.014881951805386243,-0.03554660733099148,0.022789571785444263
agr,rt.cl,RICLPM,Observed,Single,-0.002949752825153867,0.017975435211075853,-0.03818095844529568,0.032281452794987946,5.869704545524875e-4,0.01826730476954178,-0.03521628898836615,0.03639022989747112
agr,tr.cl,CLPM,Latent,All,0.02099828857595073,0.005461929167358998,0.010293104121818247,0.03170347303008321,-0.0017136635950350618,0.005116611181809738,-0.01174203723427707,0.008314710044206947
agr,tr.cl,CLPM,Latent,Single,0.012513468433915834,0.0057810645193251105,0.0011827901837362584,0.02384414668409541,3.828280343239937e-4,0.005453297611585058,-0.010305438881361016,0.011071094950009002
agr,tr.cl,CLPM,Observed,All,0.03763790278767949,0.005274290678389753,0.02730048301404025,0.047975322561318735,0.006443676770239666,0.004999130944791601,-0.0033544398355515644,0.0162417933760309
agr,tr.cl,CLPM,Observed,Single,0.035902200507085445,0.005279346390328958,0.02555487172012915,0.04624952929404174,0.007023570900728861,0.0050041180696508486,-0.0027843202901728994,0.01683146209163062
agr,tr.cl,RICLPM,Latent,All,-0.02645354158718518,0.01973526434665712,-0.06513394893201052,0.01222686575764017,0.026166536751357793,0.01872323970372819,-0.010530338741859845,0.06286341224457542
agr,tr.cl,RICLPM,Latent,Single,-0.02873529050333711,0.011960773124774596,-0.05217797505514992,-0.005292605951524303,0.021695593439885395,0.010950643146559693,2.3272726507802752e-4,0.043158459614692765
agr,tr.cl,RICLPM,Observed,All,-0.024319272242366265,0.013363918736073814,-0.05051207165739098,0.0018735271726584464,0.006735716787197136,0.013447336057463292,-0.019620577573437756,0.03309201114783203
agr,tr.cl,RICLPM,Observed,Single,-0.025139920897076444,0.011413330652629797,-0.047509637919877876,-0.002770203874275016,0.011071081634028918,0.011413694829214808,-0.011299349161763146,0.033441512429820984
