trait,effect,model,type,variables,est,se,lb,ub,mod.est,mod.se,mod.lb,mod.ub
agr,rt.cl,CLPM,Latent,All,0.05108414343134482,0.007045834045893402,0.03727456246034762,0.06489372440234202,-0.002894192986648143,0.00670002780678464,-0.016026006183362924,0.010237620210066637
agr,rt.cl,CLPM,Latent,Single,0.034126306495546925,0.005376998377284514,0.023587583331138966,0.044665029659954884,-4.689495681059434e-5,0.005046726581049766,-0.009938297295489097,0.009844507381867908
agr,rt.cl,CLPM,Observed,All,0.025151179719478497,0.005263335631338231,0.014835231443509178,0.035467127995447816,-5.167683347096601e-4,0.004987709159942454,-0.010292498653557396,0.009258961984138076
agr,rt.cl,CLPM,Observed,Single,0.027801726982059047,0.005274218818536642,0.017464448051143836,0.038139005912974255,3.076382931338113e-4,0.004998876767854125,-0.009489980135014266,0.010105256721281888
agr,rt.cl,RICLPM,Latent,All,0.08897779926567921,0.015093292174992112,0.05939549019455445,0.11856010833680397,-0.03312719804502669,0.014120069978062713,-0.06080202666121487,-0.0054523694288385015
agr,rt.cl,RICLPM,Latent,Single,0.008733520832894394,0.012878542391005748,-0.016507958426849226,0.033975000092638014,-8.351748444098816e-5,0.011793853597058953,-0.0231990457736147,0.023032010804732723
agr,rt.cl,RICLPM,Observed,All,1.804065759853346e-4,0.015438593547299897,-0.030078680748674938,0.030439493900645605,-0.007131603277275388,0.01561789551180125,-0.03774211599471559,0.023478909440164814
agr,rt.cl,RICLPM,Observed,Single,-0.002949752825153867,0.017975435211075853,-0.03818095844529568,0.032281452794987946,5.869704545524875e-4,0.01826730476954178,-0.03521628898836615,0.03639022989747112
agr,tr.cl,CLPM,Latent,All,0.020528564729282002,0.005512292408023469,0.009724670137302435,0.031332459321261566,-0.001155099914255617,0.005166688432543051,-0.0112816231613797,0.008971423332868466
agr,tr.cl,CLPM,Latent,Single,0.012513468433915834,0.0057810645193251105,0.0011827901837362584,0.02384414668409541,3.828280343239937e-4,0.005453297611585058,-0.010305438881361016,0.011071094950009002
agr,tr.cl,CLPM,Observed,All,0.03962690854502983,0.0056136606751934015,0.02862433580022196,0.0506294812898377,0.007754797571710122,0.005354806606263524,-0.002740430520743538,0.018250025664163783
agr,tr.cl,CLPM,Observed,Single,0.035902200507085445,0.005279346390328958,0.02555487172012915,0.04624952929404174,0.007023570900728861,0.0050041180696508486,-0.0027843202901728994,0.01683146209163062
agr,tr.cl,RICLPM,Latent,All,-0.014605531992508896,0.013457488695275244,-0.04098172515760329,0.0117706611725855,0.00936883076710205,0.012590699433029642,-0.015308486661804923,0.03404614819600903
agr,tr.cl,RICLPM,Latent,Single,-0.02873529050333711,0.011960773124774596,-0.05217797505514992,-0.005292605951524303,0.021695593439885395,0.010950643146559693,2.3272726507802752e-4,0.043158459614692765
agr,tr.cl,RICLPM,Observed,All,-0.026174717373402552,0.014188879757719059,-0.05398441067950131,0.0016349759326962088,0.006170024743161287,0.014308393914908261,-0.021873912006670965,0.03421396149299354
agr,tr.cl,RICLPM,Observed,Single,-0.025139920897076444,0.011413330652629797,-0.047509637919877876,-0.002770203874275016,0.011071081634028918,0.011413694829214808,-0.011299349161763146,0.033441512429820984
cns,rt.cl,CLPM,Latent,All,-0.01549784792286713,0.005381224067211331,-0.026044853287341484,-0.004950842558392777,0.01616368681522831,0.005036936271226286,0.006291473131201316,0.0260359004992553
cns,rt.cl,CLPM,Latent,Single,0.00790350397095329,0.005312602536438484,-0.0025090056646422786,0.01831601360654886,0.005658375019508317,0.005037136838008933,-0.004214231768189159,0.015530981807205793
cns,rt.cl,CLPM,Observed,All,0.00529413094183275,0.005258464259119265,-0.005012269620032107,0.015600531503697607,0.011553218481303735,0.004980604449104316,0.0017914131398193214,0.02131502382278815
